neighborhood,viz_name,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
lutherville,Lutherville,24829,674,21157,529,35,2056,20,29,329,26313,1105,20196,860,25,3012,12,92,1011,Baltimore County,1483,431,-961,330,-10,956,-8,63,682,6,63.9,-4.5,62.4,-28.6,46.5,-40,217.1,207.3,85,2,3,77,3,4,Majority White,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"20,196",860,"1,105","26,313"
middle river,Middle River,18905,1371,11473,4603,93,798,6,16,545,19516,1944,8866,6627,70,909,2,71,1028,Baltimore County,611,572,-2608,2024,-23,111,-4,55,483,3.2,41.7,-22.7,44,-24.7,13.9,-66.6,343.5,88.7,61,24,7,45,34,10,Majority Minority,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"8,866","6,627","1,944","19,516"
north point,North Point,25797,788,21877,1856,217,436,0,21,601,26209,2443,18051,3191,212,509,1,111,1690,Baltimore County,413,1655,-3826,1335,-5,73,1,90,1089,1.6,210,-17.5,71.9,-2.3,16.7,38904.3,428.6,181.2,85,7,3,69,12,9,Majority White,Majortiy White,Yes,green,green,red,green,red,green,green,green,green,"18,051","3,191","2,443","26,209"
overlea,Overlea,15806,508,8814,5812,48,307,10,23,284,16370,980,6799,7197,47,634,12,86,615,Baltimore County,564,472,-2015,1385,-1,327,2,63,331,3.6,92.9,-22.9,23.8,-2.1,106.6,20,273.8,116.6,56,37,3,42,44,6,Majority Minority,Majortiy White,Yes,green,green,red,green,red,green,green,green,green,"6,799","7,197",980,"16,370"
parkville,Parkville,33156,1011,24775,4930,74,1695,16,53,602,34015,1812,21063,7389,83,1918,8,191,1551,Baltimore County,859,801,-3712,2459,9,223,-8,138,949,2.6,79.2,-15,49.9,12.2,13.2,-50,260.4,157.6,75,15,3,62,22,5,Majority White,Majortiy White,Yes,green,green,red,green,green,green,red,green,green,"21,063","7,389","1,812","34,015"
perry hall/whitemarsh,Perry Hall/Whitemarsh,62504,1740,48096,6042,114,5344,9,87,1072,66076,2665,41502,10551,85,8288,16,254,2715,Baltimore County,3573,925,-6593,4509,-29,2943,7,167,1643,5.7,53.2,-13.7,74.6,-25.4,55.1,77.8,191.9,153.3,77,10,3,63,16,4,Majority White,Majortiy White,Yes,green,green,red,green,red,green,green,green,green,"41,502","10,551","2,665","66,076"
prettyboy,Prettyboy,4445,109,4174,62,7,41,0,3,49,4586,159,4144,69,4,40,0,35,135,Baltimore County,141,50,-30,7,-3,-1,-0,32,86,3.2,45.9,-0.7,11.3,-42.9,-2.4,-100,1065.9,175.5,94,1,2,90,2,3,Majority White,Majortiy White,Yes,green,green,red,green,red,red,red,green,green,"4,144",69,159,"4,586"
randallstown,Randallstown,48813,1453,8757,35192,105,2113,13,114,1066,52349,1846,6241,39927,62,2199,17,308,1750,Baltimore County,3536,393,-2516,4735,-43,86,4,194,684,7.2,27.1,-28.7,13.5,-41,4.1,30.7,170.2,64.2,18,72,3,12,76,4,Majority Black,Majority Black,No,green,green,red,green,red,green,green,green,green,"6,241","39,927","1,846","52,349"
reisterstown/owings mills,Reisterstown/Owings Mills,49828,4259,25684,15315,89,3043,28,123,1287,54812,7305,19501,21419,84,3829,12,384,2277,Baltimore County,4983,3047,-6183,6104,-5,786,-16,261,990,10,71.5,-24.1,39.9,-5.6,25.8,-57.1,212.1,76.9,52,31,9,36,39,13,Majority Minority,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"19,501","21,419","7,305","54,812"
rosedale,Rosedale,11067,651,8041,1781,45,364,0,22,163,11309,1190,6121,2599,33,839,2,55,471,Baltimore County,242,539,-1920,818,-12,475,2,33,308,2.2,82.7,-23.9,45.9,-26.7,130.4,102908.9,150,188.9,73,16,6,54,23,11,Majority White,Majortiy White,Yes,green,green,red,green,red,green,green,green,green,"6,121","2,599","1,190","11,309"
rossville,Rossville,16984,1089,8639,4862,59,1868,5,53,410,18191,1390,6685,7172,40,2073,5,114,712,Baltimore County,1206,301,-1954,2310,-19,205,-0,61,302,7.1,27.6,-22.6,47.5,-32.2,11,-0,115.1,73.7,51,29,6,37,39,8,Majority Minority,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"6,685","7,172","1,390","18,191"
ruxton,Ruxton,5388,79,4989,87,2,152,0,5,73,5537,199,4827,132,0,167,1,7,204,Baltimore County,149,120,-162,44,-2,15,1,2,131,2.8,151.7,-3.3,50.7,-99.7,9.8,96738.9,40.5,179.4,93,2,1,87,2,4,Majority White,Majortiy White,Yes,green,green,red,green,red,green,green,green,green,"4,827",132,199,"5,537"
security,Security,40019,2153,12751,20334,87,3645,8,118,923,42570,3353,10903,19804,82,6542,7,320,1559,Baltimore County,2551,1200,-1848,-530,-5,2897,-1,202,636,6.4,55.7,-14.5,-2.6,-5.7,79.5,-12.5,171.2,68.9,32,51,5,26,47,8,Majority Minority,Majority Black,Yes,green,green,red,red,red,green,red,green,green,"10,903","19,804","3,353","42,570"
sparks,Sparks,7778,157,6751,214,8,494,0,12,142,8270,253,6734,267,9,706,7,31,263,Baltimore County,492,96,-17,53,1,212,7,19,121,6.3,61.2,-0.3,24.8,12.5,42.9,33767145.6,158.3,85.2,87,3,2,81,3,3,Majority White,Majortiy White,Yes,green,green,red,green,green,green,green,green,green,"6,734",267,253,"8,270"
towson/loch raven,Towson/Loch Raven,68187,2597,46915,13742,95,3282,22,128,1406,73029,4630,41329,19241,112,4341,24,327,3025,Baltimore County,4842,2033,-5585,5499,17,1059,2,199,1619,7.1,78.3,-11.9,40,17.9,32.3,9.1,155.5,115.1,69,20,4,57,26,6,Majority White,Majortiy White,Yes,green,green,red,green,green,green,green,green,green,"41,329","19,241","4,630","73,029"
