neighborhood,viz_name,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
waltherson,Waltherson,6761,133,2027,4352,21,59,1,19,149,6277,229,1397,4296,20,75,1,45,215,Baltimore City,-484,96,-631,-56,-2,15,0,27,66,-7.2,72.6,-31.1,-1.3,-7.9,26,16.2,144.2,44.2,30,64,2,22,68,4,Majority Black,Majority Black,No,red,green,red,red,red,green,green,green,green,"1,397","4,296",229,"6,277"
washington hill,Washington Hill,2628,302,565,1610,17,93,1,1,39,2278,380,621,1040,9,122,1,16,89,Baltimore City,-351,77,56,-570,-7,28,0,15,50,-13.4,25.6,9.9,-35.4,-43.7,30.6,18,1341.5,126.3,21,61,12,27,46,17,Majority Minority,Majority Black,Yes,red,green,green,red,red,green,green,green,green,621,"1,040",380,"2,278"
washington village/pigtown,Washington Village/Pigtown,1278,46,498,626,4,68,0,5,32,1198,71,358,619,3,75,0,9,61,Baltimore City,-81,26,-140,-6,-1,7,0,4,29,-6.3,56.2,-28.1,-1,-21.1,10.7,99,84.7,91.2,39,49,4,30,52,6,Majority Black,Majority Minority,Yes,red,green,red,red,red,green,green,green,green,358,619,71,"1,198"
waverly,Waverly,2209,42,375,1701,6,41,1,4,39,2041,69,442,1392,4,38,1,8,88,Baltimore City,-168,26,67,-309,-2,-3,0,4,49,-7.6,62.1,17.7,-18.1,-39.9,-6.7,6.8,111.1,125.8,17,77,2,22,68,3,Majority Black,Majority Black,No,red,green,green,red,red,red,green,green,green,442,"1,392",69,"2,041"
west arlington,West Arlington,1631,19,26,1557,6,4,0,2,17,1456,50,40,1313,4,7,1,6,36,Baltimore City,-175,30,14,-245,-2,3,1,4,19,-10.7,157.5,52.2,-15.7,-30.5,86.6,Inf,203,116.7,2,95,1,3,90,3,Majority Black,Majority Black,No,red,green,green,red,red,green,green,green,green,40,"1,313",50,"1,456"
west forest park,West Forest Park,2137,20,87,1994,3,5,0,4,24,1971,44,76,1755,2,10,0,20,63,Baltimore City,-166,24,-11,-239,-1,6,0,17,39,-7.8,123.3,-12.3,-12,-40.6,123.8,NA,462.5,160.2,4,93,1,4,89,2,Majority Black,Majority Black,No,red,green,red,red,red,green,NA,green,green,76,"1,755",44,"1,971"
west hills,West Hills,1890,22,266,1561,2,12,1,3,24,1799,50,229,1429,3,15,0,9,65,Baltimore City,-91,28,-37,-132,1,3,-1,6,41,-4.8,123.2,-13.9,-8.5,62.7,22.8,-96.9,236.3,168.9,14,83,1,13,79,3,Majority Black,Majority Black,No,red,green,red,red,green,green,red,green,green,229,"1,429",50,"1,799"
westfield,Westfield,3133,89,1226,1677,15,42,3,2,80,3132,134,935,1856,12,25,1,29,139,Baltimore City,-1,46,-292,180,-3,-17,-2,28,60,-0,51.8,-23.8,10.7,-18.4,-41,-59.8,1556.7,74.4,39,54,3,30,59,4,Majority Black,Majority Black,No,red,green,red,green,red,red,red,green,green,935,"1,856",134,"3,132"
westgate,Westgate,2382,35,596,1669,6,24,4,5,43,2263,98,512,1514,6,30,1,13,90,Baltimore City,-119,63,-84,-156,0,6,-3,8,46,-5,180.4,-14.1,-9.3,7.9,23.8,-75,147.1,107.5,25,70,1,23,67,4,Majority Black,Majority Black,No,red,green,red,red,green,green,red,green,green,512,"1,514",98,"2,263"
westport,Westport,1653,23,136,1445,7,7,0,3,31,1394,64,99,1150,6,8,0,12,56,Baltimore City,-258,40,-36,-295,-1,1,0,9,25,-15.6,173.3,-26.9,-20.4,-18.1,11.2,58.6,259.3,78.6,8,87,1,7,82,5,Majority Black,Majority Black,No,red,green,red,red,red,green,green,green,green,99,"1,150",64,"1,394"
wilhelm park,Wilhelm Park,1243,59,890,217,8,34,1,4,29,1252,185,606,341,2,53,0,12,54,Baltimore City,10,125,-284,124,-6,19,-1,7,25,0.8,211.6,-31.9,56.8,-73.9,57.2,-99.6,167.2,87.8,72,17,5,48,27,15,Majority Minority,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,606,341,185,"1,252"
wilson park,Wilson Park,1105,16,31,1036,1,3,0,1,16,977,18,40,871,1,3,0,7,37,Baltimore City,-127,2,9,-164,-0,-0,-0,5,21,-11.5,15.1,30,-15.9,-33.4,-8.6,-100,366.4,130.3,3,94,1,4,89,2,Majority Black,Majority Black,No,red,green,green,red,red,red,red,green,green,40,871,18,977
winchester,Winchester,1264,10,7,1223,2,1,0,1,19,963,15,11,899,1,1,0,2,34,Baltimore City,-301,5,3,-324,-1,-0,0,1,15,-23.8,45.5,46.6,-26.5,-59,-2.1,NA,53,80.6,1,97,1,1,93,2,Majority Black,Majority Black,No,red,green,green,red,red,red,NA,green,green,11,899,15,963
windsor hills,Windsor Hills,1386,14,38,1313,4,3,0,2,13,1276,25,47,1151,2,9,0,8,34,Baltimore City,-110,12,9,-162,-2,6,0,6,21,-7.9,85,24.9,-12.3,-58.8,238.5,Inf,378,160,3,95,1,4,90,2,Majority Black,Majority Black,No,red,green,green,red,red,green,green,green,green,47,"1,151",25,"1,276"
winston-govans,Winston-Govans,1268,15,34,1192,6,2,0,2,17,1197,35,39,1079,4,0,0,8,32,Baltimore City,-72,20,5,-113,-3,-2,0,6,15,-5.6,135.4,14.3,-9.5,-42.9,-87.5,NA,400,89.1,3,94,1,3,90,3,Majority Black,Majority Black,No,red,green,green,red,red,red,NA,green,green,39,"1,079",35,"1,197"
